,영화명,관객수,대표국적,개봉year,개봉month,개봉weekday
124,얼리맨,122359,영국,2018,05,4
125,부탁 하나만 들어줘,115024,미국,2018,12,3
126,"안녕, 나의 소녀",111541,대만,2018,05,3
127,당갈,109441,인도,2018,04,3
128,할로윈,108780,미국,2018,10,3
129,레드 스패로,108344,미국,2018,02,3
130,레이디 버드,101781,미국,2018,04,3
131,게이트,101173,한국,2018,02,3
132,미니특공대X,99952,한국,2018,03,4
133,여중생A,97849,한국,2018,06,3
134,쓰리 빌보드,97480,미국,2018,03,4
135,마야2,96989,독일,2018,02,4
136,커다랗고 커다랗고 커다란 배,95324,덴마크,2018,05,4
137,플로리다 프로젝트,93936,미국,2018,03,3
138,베일리 어게인,93691,미국,2018,11,4
139,루이스,93000,독일,2018,09,4
140,셜록 놈즈,91036,미국,2018,10,3
141,신은 죽지 않았다 3: 어둠 속의 빛,86295,미국,2018,07,4
142,출국,81880,한국,2018,11,3
143,호텔 아르테미스,77794,미국,2018,07,3
144,올 더 머니,70295,미국,2018,02,4
145,마일22,69834,미국,2018,08,4
146,여곡성,67368,한국,2018,11,4
147,레오나르도 다 빈치,64405,이탈리아,2018,04,4
148,번개맨과 신비의 섬,60561,한국,2018,04,4
149,킬링 디어,59588,미국,2018,07,4
150,어드리프트:우리가 함께한 바다,59009,미국,2018,09,4
151,소공녀,58879,한국,2018,03,4
152,엘리엇과 산타 썰매단,57579,캐나다,2018,12,3
153,매직빈,57004,중국,2018,05,4
154,헌터 킬러,56511,미국,2018,12,4
155,머니백,53610,한국,2018,04,4
156,"부르고뉴, 와인에서 찾은 인생",53569,프랑스,2018,05,4
157,너의 췌장을 먹고 싶어,52355,일본,2018,11,4
158,번개맨의 비밀,50863,한국,2018,12,4
159,젝스키스 에이틴,50419,한국,2018,01,4
160,살인소설,49682,한국,2018,04,3
161,온리 더 브레이브,49612,미국,2018,03,3
162,폴란드로 간 아이들,48462,한국,2018,10,3
163,데자뷰,48279,한국,2018,05,3
164,"스탠바이, 웬디",47299,미국,2018,05,3
165,나츠메 우인장: 세상과 연을 맺다,46913,일본,2018,10,3
166,비밥바룰라,46817,한국,2018,01,3
167,에그엔젤 코코밍: 두근두근 핼러윈 파티,46386,일본,2018,09,6
168,타샤 튜더,46032,일본,2018,09,4
169,플로이,44141,아이슬란드,2018,08,3
170,다이노 어드벤처2: 육해공 공룡 대백과,43627,영국,2018,10,2
171,아일라,43612,터키,2018,06,4
172,극장판 뽀잉: 슈퍼 변신의 비밀,41054,한국,2018,09,4
173,배반의 장미,41054,한국,2018,10,4
174,더 포리너,41054,영국,2018,02,3
175,이별의 아침에 약속의 꽃을 장식하자,37764,일본,2018,07,4
176,정글번치: 최강 악당의 등장,37343,프랑스,2018,04,4
177,다키스트 아워,37300,영국,2018,01,3
178,툴리,37241,캐나다,2018,11,4
179,벅스 프렌즈,36905,중국,2018,06,3
180,반딧불이 딘딘,36737,중국,2018,02,4
181,"오늘 밤, 로맨스 극장에서",35732,일본,2018,07,3
182,스파키,35436,한국,2018,04,4
183,펭귄 하이웨이,34795,일본,2018,10,4
184,극장판 레이디버그: 미라클스톤의 비밀,34466,프랑스,2018,01,4
185,인생 후르츠,34289,일본,2018,12,4
186,개들의 섬,33229,미국,2018,06,4
187,거미줄에 걸린 소녀,32418,미국,2018,11,3
188,막달라 마리아: 부활의 증인,30833,영국,2018,03,3
189,에브리데이,30569,미국,2018,10,4
190,바르다가 사랑한 얼굴들,30392,프랑스,2018,06,4
191,체실 비치에서,30389,영국,2018,09,4
192,지구: 놀라운 하루,30200,영국,2018,02,4
193,루비 스팍스,29760,미국,2018,05,4
194,문호 스트레이독스 [데드 애플],29498,일본,2018,04,4
195,몬태나,29354,미국,2018,04,4
196,팬텀 스레드,28872,미국,2018,03,4
197,크리미널 스쿼드,28477,미국,2018,04,4
198,달링,28217,영국,2018,04,4
199,투 프렌즈,28082,러시아,2018,11,4
200,박물관이 진짜 살아있다,28064,체코,2018,11,4
201,피쉬 프렌즈: 알록이의 신기한 모험,27128,터키,2018,08,4
202,모어 댄 블루,27121,대만,2018,12,3
203,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",27069,일본,2018,01,4
204,해피 투게더,27046,한국,2018,11,4
205,원더스트럭,26921,미국,2018,05,4
206,중2병이라도 사랑이 하고 싶어! 테이크 온 미,26577,일본,2018,05,4
207,구스범스: 몬스터의 역습,25857,미국,2018,11,3
208,당신의 부탁,25787,한국,2018,04,4
209,양말요정 휴고의 대모험,25578,체코,2018,09,4
210,쿵푸몽키,25577,중국,2018,01,4
211,하이큐!! 콘셉트의 싸움,24898,일본,2018,01,4
212,캡틴 스터비,24788,미국,2018,11,4
213,영주,24676,한국,2018,11,4
214,겨울왕국의 무민,24658,핀란드,2018,02,4
215,노크: 초대받지 않은 손님,24379,미국,2018,10,4
216,로건 럭키,23336,미국,2018,03,3
217,"세라비, 이것이 인생!",23193,프랑스,2018,05,3
218,극장판 프리! - 테이크 유어 마크 -,23048,일본,2018,04,4
219,리틀 뱀파이어,23014,독일,2018,01,4
220,디트로이트,22770,미국,2018,05,4
221,윌리,22716,말레이시아,2018,10,4
222,펭이와 친구들의 남극대모험,22695,중국,2018,02,3
223,마징가 Z: 인피니티,22407,일본,2018,05,4
224,아이 캔 온리 이매진,22120,미국,2018,06,4
225,터닝메카드W: 반다인의 비밀 특별판,21947,한국,2018,02,4
226,원더 휠,21884,미국,2018,01,4
227,무문관,21808,한국,2018,04,4
228,로마,21401,멕시코,2018,12,3
229,죄 많은 소녀,21317,한국,2018,09,4
230,리즈와 파랑새,21153,일본,2018,10,2
231,휘트니,21094,미국,2018,08,4
232,다이노 헌터: 티렉스VS파키리노 대격돌,20979,영국,2018,05,4
233,호밀밭의 반항아,20713,미국,2018,10,4
234,러빙 빈센트 : 비하인드 에디션,19886,영국,2018,12,4
235,카메라를 멈추면 안 돼!,19762,일본,2018,08,4
236,극장판 가면라이더 이그제이드: 트루 엔딩,19598,일본,2018,10,2
237,픽시,19508,러시아,2018,08,4
238,B급 며느리,19459,한국,2018,01,3
239,꼬마영웅 바비,18509,중국,2018,05,3
240,나라타주,18326,일본,2018,03,4
241,트와이스랜드,18252,한국,2018,12,5
242,액슬,18219,미국,2018,10,4
243,스페이스 치킨: 마법 부적의 비밀,18169,미국,2018,10,4
244,임을 위한 행진곡,18023,한국,2018,05,3
245,판타스틱 부니베어,17746,중국,2018,03,4
246,로빈슨의 언더워터 어드벤처,17674,러시아,2018,11,4
247,킨: 더 비기닝,17543,미국,2018,10,4
248,꼬마 보트 토토: 타요 타요 배 타요,17463,노르웨이,2018,07,4
249,아인,17287,일본,2018,02,3
250,파이널 포트레이트,16933,영국,2018,09,4
251,호비와 매직 아일랜드,16914,일본,2018,06,3
252,더 스퀘어,16764,스웨덴,2018,08,4
253,토니스토리2: 고철왕국의 친구들,16685,독일,2018,06,3
255,주문은 토끼입니까?? ~디어 마이 시스터~,16655,일본,2018,01,4
254,내 이야기!!,16655,일본,2018,04,4
